
Date,Visitor,G,Home,G,,,Att.,LOG,Notes,Notes
2015-10-13,Florida Panthers,4,Carolina Hurricanes,1,,,10901,134,,
2015-10-13,St. Louis Blues,4,Calgary Flames,3,,,18632,143,,
2015-10-13,Edmonton Oilers,2,Dallas Stars,4,,,16265,150,,
2015-10-13,Tampa Bay Lightning,1,Detroit Red Wings,3,,,20027,147,,
2015-10-13,Vancouver Canucks,3,Los Angeles Kings,0,,,18230,143,,
2015-10-13,Nashville Predators,3,New Jersey Devils,1,,,11117,147,,
2015-10-13,Winnipeg Jets,4,New York Rangers,1,,,18006,143,,
2015-10-13,Montreal Canadiens,3,Pittsburgh Penguins,2,,,18626,143,,
2015-10-13,San Jose Sharks,5,Washington Capitals,0,,,18506,153,,
2015-10-14,Arizona Coyotes,4,Anaheim Ducks,0,,,15172,153,,
2015-10-14,Ottawa Senators,7,Columbus Blue Jackets,3,,,13803,151,,
2015-10-14,Boston Bruins,6,Colorado Avalanche,2,,,15082,137,,
2015-10-14,Chicago Blackhawks,0,Philadelphia Flyers,3,,,19779,145,,
2015-10-15,Minnesota Wild,4,Arizona Coyotes,3,,,12029,164,,
2015-10-15,St. Louis Blues,4,Edmonton Oilers,2,,,16839,147,,
2015-10-15,Buffalo Sabres,2,Florida Panthers,3,,,11616,156,,
2015-10-15,New York Rangers,0,Montreal Canadiens,3,,,21288,157,,
2015-10-15,Nashville Predators,3,New York Islanders,4,,,10542,152,,
2015-10-15,Ottawa Senators,0,Pittsburgh Penguins,2,,,18486,149,,
2015-10-15,Dallas Stars,5,Tampa Bay Lightning,3,,,19092,151,,
2015-10-15,Chicago Blackhawks,1,Washington Capitals,4,,,18506,137,,
2015-10-16,Colorado Avalanche,3,Anaheim Ducks,0,,,17174,149,,
2015-10-16,Toronto Maple Leafs,6,Columbus Blue Jackets,3,,,13885,157,,
2015-10-16,Carolina Hurricanes,5,Detroit Red Wings,3,,,20027,142,,
2015-10-16,Minnesota Wild,1,Los Angeles Kings,2,OT,,18230,154,,
2015-10-16,San Jose Sharks,2,New Jersey Devils,1,SO,,12464,157,,
2015-10-16,St. Louis Blues,4,Vancouver Canucks,3,,,18362,144,,
2015-10-16,Calgary Flames,1,Winnipeg Jets,3,,,15294,148,,
2015-10-17,Boston Bruins,5,Arizona Coyotes,3,,,13411,155,,
2015-10-17,Edmonton Oilers,5,Calgary Flames,2,,,19289,156,,
2015-10-17,Columbus Blue Jackets,1,Chicago Blackhawks,4,,,21563,139,,
2015-10-17,Dallas Stars,4,Florida Panthers,2,,,12834,150,,
2015-10-17,Detroit Red Wings,1,Montreal Canadiens,4,,,21288,155,,
2015-10-17,San Jose Sharks,3,New York Islanders,6,,,11577,157,,
2015-10-17,Nashville Predators,4,Ottawa Senators,3,SO,,16895,170,,
2015-10-17,Toronto Maple Leafs,1,Pittsburgh Penguins,2,,,18650,150,,
2015-10-17,Buffalo Sabres,1,Tampa Bay Lightning,2,,,19092,147,,
2015-10-17,Carolina Hurricanes,1,Washington Capitals,4,,,18506,146,,
2015-10-18,Minnesota Wild,1,Anaheim Ducks,4,,,16784,154,,
2015-10-18,Colorado Avalanche,1,Los Angeles Kings,2,,,18230,154,,
2015-10-18,New Jersey Devils,2,New York Rangers,1,OT,,18006,143,,
2015-10-18,Edmonton Oilers,2,Vancouver Canucks,1,OT,,18261,141,,
2015-10-18,St. Louis Blues,4,Winnipeg Jets,2,,,15294,208,,
2015-10-19,San Jose Sharks,0,New York Rangers,4,,,18006,139,,
2015-10-20,New York Islanders,4,Columbus Blue Jackets,0,,,14295,148,,
2015-10-20,Washington Capitals,6,Calgary Flames,2,,,18303,148,,
2015-10-20,St. Louis Blues,0,Montreal Canadiens,3,,,21288,160,,
2015-10-20,Arizona Coyotes,2,New Jersey Devils,3,OT,,12171,152,,
2015-10-20,Tampa Bay Lightning,4,Nashville Predators,5,SO,,17113,163,,
2015-10-20,Dallas Stars,2,Philadelphia Flyers,1,,,19077,155,,
2015-10-20,Florida Panthers,2,Pittsburgh Penguins,3,OT,,18471,165,,
2015-10-21,Philadelphia Flyers,5,Boston Bruins,4,OT,,17565,153,,
2015-10-21,Toronto Maple Leafs,1,Buffalo Sabres,2,SO,,17762,167,,
2015-10-21,Carolina Hurricanes,1,Colorado Avalanche,0,OT,,12826,144,,
2015-10-21,Detroit Red Wings,1,Edmonton Oilers,3,,,16839,145,,
2015-10-22,Florida Panthers,2,Chicago Blackhawks,3,,,21591,154,,
2015-10-22,Columbus Blue Jackets,2,Minnesota Wild,3,,,18650,151,,
2015-10-22,Anaheim Ducks,1,Nashville Predators,5,,,17113,148,,
2015-10-22,Arizona Coyotes,1,New York Rangers,4,,,18006,158,,
2015-10-22,New Jersey Devils,5,Ottawa Senators,4,SO,,16578,161,,
2015-10-22,Dallas Stars,4,Pittsburgh Penguins,1,,,18490,152,,
2015-10-22,Los Angeles Kings,4,San Jose Sharks,1,,,16797,159,,
2015-10-22,Washington Capitals,3,Vancouver Canucks,2,,,18188,137,,
2015-10-23,Montreal Canadiens,7,Buffalo Sabres,2,,,18214,148,,
2015-10-23,Detroit Red Wings,2,Calgary Flames,3,OT,,19158,157,,
2015-10-23,Washington Capitals,7,Edmonton Oilers,4,,,16839,148,,
2015-10-23,Carolina Hurricanes,0,Los Angeles Kings,3,,,18230,151,,
2015-10-23,Boston Bruins,5,New York Islanders,3,,,13113,165,,
2015-10-23,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,,15294,151,,
2015-10-24,New Jersey Devils,4,Buffalo Sabres,3,,,18040,151,,
2015-10-24,Tampa Bay Lightning,0,Chicago Blackhawks,1,OT,,21822,143,,
2015-10-24,Columbus Blue Jackets,4,Colorado Avalanche,3,,,18007,150,,
2015-10-24,Florida Panthers,6,Dallas Stars,2,,,18532,154,,
2015-10-24,Anaheim Ducks,0,Minnesota Wild,3,,,19034,149,,
2015-10-24,Toronto Maple Leafs,3,Montreal Canadiens,5,,,21288,163,,
2015-10-24,Pittsburgh Penguins,2,Nashville Predators,1,OT,,17163,149,,
2015-10-24,Arizona Coyotes,4,Ottawa Senators,1,,,17270,149,,
2015-10-24,New York Rangers,2,Philadelphia Flyers,3,SO,,19805,172,,
2015-10-24,Carolina Hurricanes,2,San Jose Sharks,5,,,15814,144,,
2015-10-24,New York Islanders,3,St. Louis Blues,2,OT,,19186,151,,
2015-10-24,Detroit Red Wings,3,Vancouver Canucks,2,OT,,18312,158,,
2015-10-25,Los Angeles Kings,3,Edmonton Oilers,2,,,16839,147,,
2015-10-25,Calgary Flames,1,New York Rangers,4,,,18006,138,,
2015-10-25,Minnesota Wild,4,Winnipeg Jets,5,,,15294,154,,
2015-10-26,Anaheim Ducks,0,Chicago Blackhawks,1,OT,,21529,156,,
2015-10-26,Calgary Flames,0,New York Islanders,4,,,11582,146,,
2015-10-26,Arizona Coyotes,4,Toronto Maple Leafs,3,,,18944,168,,
2015-10-27,Arizona Coyotes,0,Boston Bruins,6,,,17565,154,,
2015-10-27,Anaheim Ducks,3,Dallas Stars,4,,,17798,152,,
2015-10-27,Carolina Hurricanes,3,Detroit Red Wings,1,,,20027,139,,
2015-10-27,Colorado Avalanche,1,Florida Panthers,4,,,11694,146,,
2015-10-27,Edmonton Oilers,3,Minnesota Wild,4,,,18936,143,,
2015-10-27,Columbus Blue Jackets,3,New Jersey Devils,1,,,12847,137,,
2015-10-27,Buffalo Sabres,4,Philadelphia Flyers,3,OT,,19432,157,,
2015-10-27,Tampa Bay Lightning,0,St. Louis Blues,2,,,19184,144,,
2015-10-27,Montreal Canadiens,1,Vancouver Canucks,5,,,18570,143,,
2015-10-27,Los Angeles Kings,4,Winnipeg Jets,1,,,15294,140,,
2015-10-28,Calgary Flames,4,Ottawa Senators,5,SO,,16923,173,,
2015-10-28,Nashville Predators,2,San Jose Sharks,1,,,15219,144,,
2015-10-28,Pittsburgh Penguins,3,Washington Capitals,1,,,18506,147,,
2015-10-29,Vancouver Canucks,3,Dallas Stars,4,OT,,17664,152,,
2015-10-29,Montreal Canadiens,3,Edmonton Oilers,4,,,16839,157,,
2015-10-29,Carolina Hurricanes,3,New York Islanders,2,OT,,11494,151,,
2015-10-29,New Jersey Devils,4,Philadelphia Flyers,1,,,19241,152,,
2015-10-29,Buffalo Sabres,3,Pittsburgh Penguins,4,,,18415,148,,
2015-10-29,Anaheim Ducks,1,St. Louis Blues,2,,,16904,150,,
2015-10-29,Colorado Avalanche,2,Tampa Bay Lightning,1,,,19092,148,,
2015-10-29,Chicago Blackhawks,1,Winnipeg Jets,3,,,15294,152,,
2015-10-30,Vancouver Canucks,4,Arizona Coyotes,3,,,12166,142,,
2015-10-30,Philadelphia Flyers,1,Buffalo Sabres,3,,,15962,157,,
2015-10-30,Colorado Avalanche,2,Carolina Hurricanes,3,,,9345,142,,
2015-10-30,Montreal Canadiens,6,Calgary Flames,2,,,19289,156,,
2015-10-30,Ottawa Senators,3,Detroit Red Wings,1,,,20027,156,,
2015-10-30,Boston Bruins,3,Florida Panthers,1,,,14112,150,,
2015-10-30,Chicago Blackhawks,4,Minnesota Wild,5,,,19140,163,,
2015-10-30,Toronto Maple Leafs,1,New York Rangers,3,,,18006,150,,
2015-10-30,Columbus Blue Jackets,1,Washington Capitals,2,,,18506,147,,
2015-10-31,Winnipeg Jets,3,Columbus Blue Jackets,2,,,12860,149,,
2015-10-31,San Jose Sharks,3,Dallas Stars,5,,,18178,153,,
2015-10-31,Calgary Flames,5,Edmonton Oilers,4,,,16839,159,,
2015-10-31,Washington Capitals,2,Florida Panthers,1,OT,,11207,154,,
2015-10-31,Nashville Predators,3,Los Angeles Kings,4,OT,,18230,149,,
2015-10-31,New York Islanders,2,New Jersey Devils,3,SO,,11605,150,,
2015-10-31,Detroit Red Wings,5,Ottawa Senators,3,,,16964,160,,
2015-10-31,Minnesota Wild,2,St. Louis Blues,3,OT,,17728,181,,
2015-10-31,Boston Bruins,3,Tampa Bay Lightning,1,,,19092,146,,
2015-10-31,Pittsburgh Penguins,4,Toronto Maple Leafs,0,,,19197,150,,
2015-11-01,Nashville Predators,2,Anaheim Ducks,4,,,16276,152,,
2015-11-01,Tampa Bay Lightning,4,Carolina Hurricanes,3,,,9081,143,,
2015-11-01,San Jose Sharks,4,Colorado Avalanche,3,,,17128,151,,
2015-11-01,Winnipeg Jets,1,Montreal Canadiens,5,,,21288,151,,
2015-11-01,Buffalo Sabres,2,New York Islanders,1,,,11278,138,,
2015-11-02,Los Angeles Kings,2,Chicago Blackhawks,4,,,21534,148,,
2015-11-02,Dallas Stars,1,Toronto Maple Leafs,4,,,19087,171,,
2015-11-02,Philadelphia Flyers,1,Vancouver Canucks,4,,,18264,149,,
2015-11-03,Dallas Stars,5,Boston Bruins,3,,,17565,153,,
2015-11-03,Calgary Flames,3,Colorado Avalanche,6,,,14408,151,,
2015-11-03,Tampa Bay Lightning,1,Detroit Red Wings,2,,,20027,152,,
2015-11-03,Philadelphia Flyers,2,Edmonton Oilers,4,,,16839,148,,
2015-11-03,Ottawa Senators,2,Montreal Canadiens,1,OT,,21288,152,,
2015-11-03,New Jersey Devils,1,New York Islanders,2,,,12122,147,,
2015-11-03,Washington Capitals,2,New York Rangers,5,,,18006,146,,
2015-11-03,Columbus Blue Jackets,5,San Jose Sharks,2,,,15491,150,,
2015-11-03,Los Angeles Kings,3,St. Louis Blues,0,,,17529,155,,
2015-11-04,Florida Panthers,2,Anaheim Ducks,3,SO,,15169,169,,
2015-11-04,St. Louis Blues,6,Chicago Blackhawks,5,OT,,21676,165,,
2015-11-04,Winnipeg Jets,4,Toronto Maple Leafs,2,,,19113,152,,
2015-11-04,Pittsburgh Penguins,3,Vancouver Canucks,2,,,18570,151,,
2015-11-05,Colorado Avalanche,2,Arizona Coyotes,4,,,10270,157,,
2015-11-05,Tampa Bay Lightning,4,Buffalo Sabres,1,,,18161,139,,
2015-11-05,Philadelphia Flyers,1,Calgary Flames,2,OT,,19289,153,,
2015-11-05,Columbus Blue Jackets,3,Los Angeles Kings,2,,,18230,157,,
2015-11-05,Nashville Predators,3,Minnesota Wild,2,,,19024,160,,
2015-11-05,New York Islanders,1,Montreal Canadiens,4,,,21288,144,,
2015-11-05,Winnipeg Jets,2,Ottawa Senators,3,SO,,17195,163,,
2015-11-05,Florida Panthers,2,San Jose Sharks,5,,,15525,149,,
2015-11-05,Boston Bruins,1,Washington Capitals,4,,,18506,155,,
2015-11-06,Columbus Blue Jackets,2,Anaheim Ducks,4,,,17174,146,,
2015-11-06,Dallas Stars,4,Carolina Hurricanes,1,,,10188,152,,
2015-11-06,New York Rangers,2,Colorado Avalanche,1,,,17818,143,,
2015-11-06,Pittsburgh Penguins,2,Edmonton Oilers,1,,,16839,153,,
2015-11-06,Chicago Blackhawks,2,New Jersey Devils,4,,,16514,158,,
2015-11-06,Detroit Red Wings,2,Toronto Maple Leafs,1,OT,,19680,160,,
2015-11-07,New York Rangers,4,Arizona Coyotes,1,,,13029,151,,
2015-11-07,Vancouver Canucks,2,Buffalo Sabres,3,,,19070,146,,
2015-11-07,Ottawa Senators,2,Carolina Hurricanes,3,OT,,10005,153,,
2015-11-07,Pittsburgh Penguins,2,Calgary Flames,5,,,19289,151,,
2015-11-07,Florida Panthers,1,Los Angeles Kings,4,,,18230,152,,
2015-11-07,Tampa Bay Lightning,0,Minnesota Wild,1,,,19066,140,,
2015-11-07,Boston Bruins,2,Montreal Canadiens,4,,,21288,166,,
2015-11-07,St. Louis Blues,4,Nashville Predators,0,,,17143,146,,
2015-11-07,Anaheim Ducks,1,San Jose Sharks,0,,,17562,152,,
2015-11-07,Philadelphia Flyers,3,Winnipeg Jets,0,,,15294,147,,
2015-11-07,Toronto Maple Leafs,2,Washington Capitals,3,SO,,18506,172,,
2015-11-08,Edmonton Oilers,2,Chicago Blackhawks,4,,,21611,153,,
2015-11-08,Dallas Stars,4,Detroit Red Wings,1,,,20027,151,,
2015-11-08,Vancouver Canucks,3,New Jersey Devils,4,OT,,14896,174,,
2015-11-08,Boston Bruins,2,New York Islanders,1,,,13197,150,,
2015-11-09,Arizona Coyotes,4,Anaheim Ducks,3,OT,,13864,150,,
2015-11-10,Vancouver Canucks,5,Columbus Blue Jackets,3,,,14148,147,,
2015-11-10,Toronto Maple Leafs,3,Dallas Stars,2,,,18266,151,,
2015-11-10,Washington Capitals,0,Detroit Red Wings,1,,,20027,141,,
2015-11-10,Calgary Flames,3,Florida Panthers,4,,,11242,144,,
2015-11-10,Arizona Coyotes,3,Los Angeles Kings,2,,,18230,146,,
2015-11-10,Winnipeg Jets,3,Minnesota Wild,5,,,19153,151,,
2015-11-10,St. Louis Blues,2,New Jersey Devils,0,,,13310,138,,
2015-11-10,Ottawa Senators,5,Nashville Predators,7,,,16963,161,,
2015-11-10,Carolina Hurricanes,0,New York Rangers,3,,,18006,147,,
2015-11-10,Colorado Avalanche,4,Philadelphia Flyers,0,,,18587,145,,
2015-11-10,New York Islanders,4,San Jose Sharks,2,,,16558,147,,
2015-11-10,Buffalo Sabres,4,Tampa Bay Lightning,1,,,19092,145,,
2015-11-11,Edmonton Oilers,4,Anaheim Ducks,3,OT,,16505,150,,
2015-11-11,Montreal Canadiens,3,Pittsburgh Penguins,4,SO,,18455,164,,
2015-11-12,Edmonton Oilers,1,Arizona Coyotes,4,,,15545,146,,
2015-11-12,Colorado Avalanche,3,Boston Bruins,2,,,17565,154,,
2015-11-12,Minnesota Wild,3,Carolina Hurricanes,2,OT,,9511,153,,
2015-11-12,New Jersey Devils,3,Chicago Blackhawks,2,,,21568,138,,
2015-11-12,Winnipeg Jets,3,Dallas Stars,6,,,18010,149,,
2015-11-12,Buffalo Sabres,3,Florida Panthers,2,,,11271,152,,
2015-11-12,New York Islanders,1,Los Angeles Kings,2,,,18230,147,,
2015-11-12,Toronto Maple Leafs,2,Nashville Predators,1,SO,,17231,157,,
2015-11-12,St. Louis Blues,3,New York Rangers,6,,,18006,146,,
2015-11-12,Vancouver Canucks,2,Ottawa Senators,3,,,19229,143,,
2015-11-12,Washington Capitals,5,Philadelphia Flyers,2,,,19414,154,,
2015-11-12,Calgary Flames,1,Tampa Bay Lightning,3,,,19092,160,,
2015-11-13,New York Islanders,4,Anaheim Ducks,1,,,17174,148,,
2015-11-13,San Jose Sharks,3,Detroit Red Wings,2,,,20027,137,,
2015-11-13,Columbus Blue Jackets,2,Pittsburgh Penguins,1,,,18610,160,,
2015-11-13,Calgary Flames,3,Washington Capitals,2,OT,,18506,155,,
2015-11-14,Detroit Red Wings,1,Boston Bruins,3,,,17565,144,,
2015-11-14,San Jose Sharks,2,Buffalo Sabres,1,OT,,18611,153,,
2015-11-14,Philadelphia Flyers,3,Carolina Hurricanes,2,OT,,13758,141,,
2015-11-14,Arizona Coyotes,2,Columbus Blue Jackets,5,,,13702,158,,
2015-11-14,Minnesota Wild,2,Dallas Stars,3,OT,,18532,160,,
2015-11-14,Edmonton Oilers,3,Los Angeles Kings,4,,,18230,148,,
2015-11-14,Colorado Avalanche,6,Montreal Canadiens,1,,,21288,143,,
2015-11-14,Pittsburgh Penguins,0,New Jersey Devils,4,,,16514,149,,
2015-11-14,Winnipeg Jets,0,Nashville Predators,7,,,17113,162,,
2015-11-14,New York Rangers,2,Ottawa Senators,1,SO,,19310,153,,
2015-11-14,Chicago Blackhawks,4,St. Louis Blues,2,,,19808,160,,
2015-11-14,Florida Panthers,5,Tampa Bay Lightning,4,SO,,19092,173,,
2015-11-14,Vancouver Canucks,2,Toronto Maple Leafs,4,,,19798,161,,
2015-11-15,Calgary Flames,1,Chicago Blackhawks,4,,,21629,143,,
2015-11-15,Toronto Maple Leafs,3,New York Rangers,4,,,18006,158,,
2015-11-16,Anaheim Ducks,4,Carolina Hurricanes,1,,,9305,142,,
2015-11-16,Tampa Bay Lightning,0,Florida Panthers,1,,,12067,146,,
2015-11-16,Vancouver Canucks,3,Montreal Canadiens,4,OT,,21288,157,,
2015-11-16,Arizona Coyotes,2,New York Islanders,5,,,11841,144,,
2015-11-16,Detroit Red Wings,4,Ottawa Senators,3,OT,,16718,156,,
2015-11-16,Winnipeg Jets,2,St. Louis Blues,3,,,18680,153,,
2015-11-17,San Jose Sharks,5,Boston Bruins,4,,,17565,152,,
2015-11-17,Dallas Stars,3,Buffalo Sabres,1,,,18101,156,,
2015-11-17,St. Louis Blues,1,Columbus Blue Jackets,3,,,12161,147,,
2015-11-17,New Jersey Devils,2,Calgary Flames,3,,,19289,147,,
2015-11-17,Anaheim Ducks,2,Nashville Predators,3,,,17113,150,,
2015-11-17,Los Angeles Kings,3,Philadelphia Flyers,2,SO,,18846,156,,
2015-11-17,Minnesota Wild,3,Pittsburgh Penguins,4,,,18495,163,,
2015-11-17,Colorado Avalanche,1,Toronto Maple Leafs,5,,,19238,145,,
2015-11-18,Washington Capitals,2,Detroit Red Wings,1,OT,,20027,146,,
2015-11-18,Chicago Blackhawks,4,Edmonton Oilers,3,OT,,16839,153,,
2015-11-18,Vancouver Canucks,1,Winnipeg Jets,4,,,15294,153,,
2015-11-19,Minnesota Wild,2,Boston Bruins,4,,,17565,149,,
2015-11-19,Anaheim Ducks,3,Florida Panthers,1,,,10947,150,,
2015-11-19,Arizona Coyotes,3,Montreal Canadiens,2,,,21288,157,,
2015-11-19,Columbus Blue Jackets,0,Ottawa Senators,3,,,16925,157,,
2015-11-19,San Jose Sharks,1,Philadelphia Flyers,0,OT,,18229,157,,
2015-11-19,Colorado Avalanche,3,Pittsburgh Penguins,4,,,18430,149,,
2015-11-19,Buffalo Sabres,2,St. Louis Blues,3,SO,,17359,158,,
2015-11-19,New York Rangers,1,Tampa Bay Lightning,2,,,19092,153,,
2015-11-19,Dallas Stars,3,Washington Capitals,2,,,18506,147,,
2015-11-20,Toronto Maple Leafs,2,Carolina Hurricanes,1,SO,,10327,172,,
2015-11-20,Nashville Predators,0,Columbus Blue Jackets,4,,,13584,144,,
2015-11-20,Chicago Blackhawks,1,Calgary Flames,2,OT,,19289,152,,
2015-11-20,Los Angeles Kings,2,Detroit Red Wings,3,,,20027,148,,
2015-11-20,New Jersey Devils,1,Edmonton Oilers,5,,,16839,142,,
2015-11-20,Montreal Canadiens,5,New York Islanders,3,,,15171,155,,
2015-11-21,Toronto Maple Leafs,0,Boston Bruins,2,,,17565,153,,
2015-11-21,Buffalo Sabres,0,Dallas Stars,3,,,18532,145,,
2015-11-21,New York Rangers,5,Florida Panthers,4,OT,,17866,168,,
2015-11-21,Nashville Predators,0,Minnesota Wild,4,,,19056,153,,
2015-11-21,Philadelphia Flyers,0,Ottawa Senators,4,,,18578,149,,
2015-11-21,San Jose Sharks,3,Pittsburgh Penguins,1,,,18534,149,,
2015-11-21,Detroit Red Wings,4,St. Louis Blues,3,OT,,18098,157,,
2015-11-21,Anaheim Ducks,0,Tampa Bay Lightning,5,,,19092,151,,
2015-11-21,Chicago Blackhawks,3,Vancouver Canucks,6,,,18570,144,,
2015-11-21,Arizona Coyotes,2,Winnipeg Jets,3,,,15294,149,,
2015-11-21,Colorado Avalanche,3,Washington Capitals,7,,,18506,154,,
2015-11-22,Los Angeles Kings,3,Carolina Hurricanes,4,,,10154,153,,
2015-11-22,San Jose Sharks,5,Columbus Blue Jackets,3,,,13397,154,,
2015-11-22,New York Islanders,2,Montreal Canadiens,4,,,21288,148,,
2015-11-22,New Jersey Devils,3,Vancouver Canucks,2,,,18268,155,,
2015-11-23,St. Louis Blues,2,Buffalo Sabres,1,,,17563,148,,
2015-11-23,Los Angeles Kings,3,Florida Panthers,1,,,10997,153,,
2015-11-23,Nashville Predators,0,New York Rangers,3,,,18006,149,,
2015-11-23,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,,18636,153,,
2015-11-23,Boston Bruins,4,Toronto Maple Leafs,3,SO,,19609,178,,
2015-11-23,Colorado Avalanche,4,Winnipeg Jets,1,,,15294,139,,
2015-11-23,Edmonton Oilers,0,Washington Capitals,1,,,18506,141,,
2015-11-24,Calgary Flames,3,Anaheim Ducks,5,,,15688,152,,
2015-11-24,Ottawa Senators,7,Dallas Stars,4,,,18532,151,,
2015-11-25,Anaheim Ducks,2,Arizona Coyotes,4,,,11578,152,,
2015-11-25,Nashville Predators,3,Buffalo Sabres,2,,,17871,144,,
2015-11-25,Edmonton Oilers,1,Carolina Hurricanes,4,,,10911,138,,
2015-11-25,Ottawa Senators,5,Colorado Avalanche,3,,,16570,150,,
2015-11-25,Boston Bruins,3,Detroit Red Wings,2,OT,,20027,144,,
2015-11-25,Vancouver Canucks,3,Minnesota Wild,2,,,18877,146,,
2015-11-25,Columbus Blue Jackets,2,New Jersey Devils,1,,,13567,140,,
2015-11-25,Philadelphia Flyers,1,New York Islanders,3,,,13027,144,,
2015-11-25,Montreal Canadiens,5,New York Rangers,1,,,18006,148,,
2015-11-25,St. Louis Blues,3,Pittsburgh Penguins,4,OT,,18569,146,,
2015-11-25,Chicago Blackhawks,5,San Jose Sharks,2,,,17562,145,,
2015-11-25,Los Angeles Kings,1,Tampa Bay Lightning,2,SO,,19092,166,,
2015-11-25,Winnipeg Jets,3,Washington Capitals,5,,,18506,147,,
2015-11-27,Chicago Blackhawks,3,Anaheim Ducks,2,OT,,17174,163,,
2015-11-27,Calgary Flames,1,Arizona Coyotes,2,OT,,11495,152,,
2015-11-27,New York Rangers,3,Boston Bruins,4,,,17565,153,,
2015-11-27,Carolina Hurricanes,1,Buffalo Sabres,4,,,18052,138,,
2015-11-27,Pittsburgh Penguins,1,Columbus Blue Jackets,2,OT,,18205,163,,
2015-11-27,Vancouver Canucks,2,Dallas Stars,3,SO,,18532,161,,
2015-11-27,Edmonton Oilers,3,Detroit Red Wings,4,OT,,20027,147,,
2015-11-27,New York Islanders,2,Florida Panthers,3,SO,,14598,156,,
2015-11-27,Winnipeg Jets,3,Minnesota Wild,1,,,19055,150,,
2015-11-27,Montreal Canadiens,3,New Jersey Devils,2,SO,,16514,166,,
2015-11-27,Nashville Predators,2,Philadelphia Flyers,3,OT,,19818,161,,
2015-11-27,Tampa Bay Lightning,2,Washington Capitals,4,,,18506,158,,
2015-11-28,Ottawa Senators,3,Arizona Coyotes,4,,,12727,154,,
2015-11-28,Winnipeg Jets,3,Colorado Avalanche,5,,,16311,143,,
2015-11-28,Chicago Blackhawks,2,Los Angeles Kings,3,OT,,18482,149,,
2015-11-28,Dallas Stars,4,Minnesota Wild,3,OT,,19024,156,,
2015-11-28,New Jersey Devils,3,Montreal Canadiens,2,OT,,21288,159,,
2015-11-28,Buffalo Sabres,4,Nashville Predators,1,,,17217,156,,
2015-11-28,Philadelphia Flyers,3,New York Rangers,0,,,18006,139,,
2015-11-28,Edmonton Oilers,3,Pittsburgh Penguins,2,SO,,18656,165,,
2015-11-28,Calgary Flames,2,San Jose Sharks,5,,,17283,141,,
2015-11-28,Columbus Blue Jackets,1,St. Louis Blues,3,,,19227,142,,
